SEASON_ID,PLAYER_ID,GAME_ID,GAME_DATE,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,TEAM_NAME,PLAYER_NAME,TEAM_ID
22023,1629027,22301188,2024-04-14,0,32,4,9,0.444,1,4,0.25,3,3,1.0,1,2,3,12,0,0,8,1,12,-35,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22301178,2024-04-12,0,27,6,12,0.5,3,7,0.429,4,6,0.667,0,2,2,7,1,0,2,1,19,16,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22301159,2024-04-10,0,21,5,5,1.0,2,2,1.0,2,2,1.0,0,4,4,11,1,0,5,1,14,16,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300804,2024-02-23,0,35,4,13,0.308,2,6,0.333,1,2,0.5,0,3,3,7,0,0,4,3,11,-6,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300777,2024-02-14,0,34,4,12,0.333,2,8,0.25,2,2,1.0,1,1,2,12,0,0,4,4,12,-15,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300763,2024-02-12,0,36,3,14,0.214,2,10,0.2,11,12,0.917,0,3,3,14,0,0,2,1,19,-14,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300754,2024-02-10,1,33,6,16,0.375,2,9,0.222,4,6,0.667,0,4,4,8,2,1,4,3,18,-1,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300742,2024-02-09,1,40,10,21,0.476,5,12,0.417,12,16,0.75,0,1,1,12,1,0,7,1,37,5,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300729,2024-02-07,0,38,8,25,0.32,2,10,0.2,2,2,1.0,0,2,2,10,1,0,4,0,20,-10,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300716,2024-02-05,0,36,8,14,0.571,3,7,0.429,6,6,1.0,0,2,2,12,2,0,5,5,25,-6,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300699,2024-02-03,1,42,12,21,0.571,7,11,0.636,4,5,0.8,0,0,0,6,1,0,3,3,35,5,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300690,2024-02-02,1,42,12,17,0.706,7,11,0.636,1,2,0.5,0,1,1,15,3,1,7,2,32,-1,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300669,2024-01-30,1,34,9,20,0.45,6,9,0.667,2,2,1.0,1,1,2,13,1,0,5,0,26,5,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300653,2024-01-28,1,42,9,24,0.375,1,4,0.25,11,12,0.917,0,2,2,12,2,0,5,3,30,8,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300634,2024-01-26,0,33,9,18,0.5,2,7,0.286,10,11,0.909,0,1,1,11,3,0,2,3,30,9,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300595,2024-01-20,0,28,6,12,0.5,3,4,0.75,0,0,0.0,0,1,1,5,0,0,4,2,15,-20,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300570,2024-01-17,1,39,5,14,0.357,1,6,0.167,7,7,1.0,1,2,3,12,1,0,8,3,18,2,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300559,2024-01-15,1,38,11,24,0.458,6,11,0.545,8,9,0.889,0,6,6,13,1,1,3,0,36,16,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300543,2024-01-13,0,36,6,19,0.316,2,10,0.2,7,9,0.778,1,1,2,10,1,1,1,5,21,-23,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300533,2024-01-12,0,30,4,17,0.235,2,6,0.333,3,3,1.0,3,0,3,6,2,0,5,1,13,-19,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300521,2024-01-10,1,43,7,22,0.318,2,8,0.25,12,14,0.857,0,1,1,11,1,1,5,2,28,7,Atlanta Hawks,Trae Young,1610612737
